name;variation_type;variant;category;brand;reference;barcode;description;description_on_invoice;price;price_supplier;unity;control_stock;vat;vat_isention;vat_isention_norm;product_type;class_;merceria_nortenha;stock_merceria_nortenha;profit_margin;image
Pao Saloio;;;PADARIA;Santos;VPAO101-24030188;8480000145772;;Sim;0,1500;0,1060;Uni;Sim;6;;;P;ALI;S;-392,0000;33.50;https://www.vendus.pt/foto/ea5249ff32ac922be37e143c2110967d.jpg
Pão Integral;;;PADARIA;Santos;VPAO100-24030135;;;Não;0,1500;0,1000;Uni;Sim;6;;;P;;S;-317,0000;41.51;https://www.vendus.pt/foto/3a17ebf53544cca1bf1c8d6ce0c4f358.jpg
Gillette Platinum 5 lâminas;;;HIGIENE;Gillette;VGIL4-24022577;3014260596989;;Sim;2,9500;0,0000;Uni;Sim;23;;;P;PER;S;0;100;
Gillette Platinum 10x5 lâminas;;;HIGIENE;Gillette;VGIL5-24022575;3014260411879;;Sim;20,0000;0,0000;Uni;Sim;23;;;P;PER;S;0;100;
Gás Pulma;;;UTILITARIOS;Rubis;VGAS98-24030188;;;Não;30,0015;21,0000;Uni;Sim;23;;;P;;S;0,0000;16.15;https://www.vendus.pt/foto/2003a9edcaa22bc70c542c792076d472.png
Amaciador Color Vive 200 ml. L´Oreal;;;HIGIENE;L'Òréal;VLIN7-24022531;3600521525456;;Não;3,6900;2,0000;Uni;Sim;23;;;P;PER;S;7,0000;50.00;
Abrilhantador Máquina de Loiça;;;LIMPEZA;Fairy;Fairy 475 ml;5413149957763;;Não;4,4000;0,0000;Uni;Sim;23;;;P;CAS;S;2,0000;100;
Fio Dental Sensodyne;;;HIGIENE;Sensodyne;VFIO9-24022549;5601385501585;;Não;3,5900;0,0000;Uni;Sim;23;;;P;PER;S;4,0000;100;
Pensos hig. 16 und. Evax;;;HIGIENE;Evax;VPEN10-24022528;8410108006682;;Não;1,8000;0,0000;Uni;Sim;23;;;P;PER;S;-2,0000;100;
Pastilhas Limpeza de Próteses Dentárias Oxigénio Ativo;;;HIGIENE;Polident;Polident emb. 48 un;5601385504852;;Não;5,7900;0,0000;Uni;Sim;23;;;P;PER;S;0;100;
Amaciadoe Extrato de Toranja 250 ml Fructis;;;HIGIENE;Fructis;VAMA212-24030335;5601036305043;;Não;3,2484;1,9000;Uni;Sim;23;;;P;PER;S;5,0000;39.00;
Champô Alisador 250 ml. Fructis;;;HIGIENE;Fructis;VFRU13-24022580;3600540016911;;Não;3,3852;1,9800;Uni;Sim;23;;;P;PER;S;7,0000;39.00;
Amaciador Aloe Vera 200 ml Fructis;;;HIGIENE;Fructis;VFRU14-24022592;3600542117357;;Não;3,2484;1,9000;Uni;Sim;23;;;P;PER;S;0;39.00;
Tocas Piaçaba;;;LIMPEZA;;VTOC15-24022539;560030505967;;Não;0,0000;0,0000;Uni;Sim;23;;;P;;S;0;;
Tampões Hig. 32 und. O.B;;;HIGIENE;ob;VTAM16-24022518;4001683011525;;Não;4,5000;0,0000;Uni;Sim;23;;;P;PER;S;0;100;
Gracha Sapatos Spray;;;HIGIENE;;VGRA17-2402257;;;Não;3,2500;0,0000;Uni;Sim;23;;;P;;S;0;100;
Gracha Sapatos Spray;Cor;Preto;HIGIENE;;VGRA17-2402257.;5601149015839;;Não;0,0000;0,0000;Uni;Sim;23;;;P;;S;0;;
Gracha Sapatos Spray;Cor;Castanho;HIGIENE;;VGRA17-2402257.;5601149015846;;Não;0,0000;0,0000;Uni;Sim;23;;;P;;S;0;;
Renovador de Móveis;;;MERCEARIA;Margem;VREN18-24022586;;;Não;3,1500;0,0000;Uni;Sim;23;;;P;;S;0;100;
Renovador de Móveis;Tons;Escuro;MERCEARIA;Margem;VREN18-24022586.;5601288200714;;Não;0,0000;0,0000;Uni;Sim;23;;;P;;S;0;;
Renovador de Móveis;Tons;Normal;MERCEARIA;Margem;VREN18-24022586.;5601288200707;;Não;0,0000;0,0000;Uni;Sim;23;;;P;;S;0;;
Vaselina Purificada;;;SAÚDE;Hidro;VVAS19-24022518;5601233862004;;Não;0,7500;0,0000;Uni;Sim;23;;;P;PER;S;0;100;
Tampões Higiénicos Super  16 und. O.B.;;;HIGIENE;ob;VTAM20-24022553;3574660239881;;Não;2,9900;0,0000;Uni;Sim;23;;;P;PER;S;-1,0000;100;
